-- Testing: 210 tests, 12 workers --
FAIL: LLVM :: tools/llvm-objcopy/ELF/add-symbol-new-symbol-visibility.test (1 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/add-section-remove.test (2 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/add-gnu-debuglink.test (3 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/add-section-and-set-flags.test (4 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/add-symbol-new-symtab.test (5 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/add-section.test (6 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/add-section-special.test (7 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/adjacent-segments.test (8 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/add-note.test (9 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/add-symbol.test (10 of 210)
PASS: LLVM :: tools/llvm-objcopy/ELF/abs-symbol.test (11 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/add-symbol-no-symtab.test (12 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/basic-copy.test (13 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/basic-keep.test (14 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/basic-binary-copy.test (15 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/basic-only-section.test (16 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/bad-output-format.test (17 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/armexidx-link.test (18 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/bad-build-id.test (19 of 210)
PASS: LLVM :: tools/llvm-objcopy/ELF/basic-relocations.test (20 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/binary-first-seg-offset-zero.test (21 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/binary-input-error.test (22 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/binary-no-paddr.test (23 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/binary-input-and-output.test (24 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/archive-unknown-members.test (25 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/binary-input.test (26 of 210)
UNSUPPORTED: LLVM :: tools/llvm-objcopy/ELF/cannot-delete-dest.test (27 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/binary-remove-all-but-one.test (28 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/basic-archive-copy.test (29 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/binary-paddr.test (30 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/binary-remove-end.test (31 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/binary-output-empty.test (32 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/binary-remove-middle.test (33 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/binary-segment-layout.test (34 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/binary-out-error.test (35 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/binary-output-target.test (36 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/check-addr-offset-align-binary.test (37 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/check-addr-offset-align.test (38 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/build-id-link-dir.test (39 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/change-entry-point.test (40 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/compress-debug-sections-default-gnu.test (41 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/compress-debug-sections-default.test (42 of 210)
PASS: LLVM :: tools/llvm-objcopy/ELF/common-symbol.test (43 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/compress-debug-sections-symbols.test (44 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/compress-debug-sections-groups.test (45 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/compress-debug-sections-zlib-gnu.test (46 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/compress-debug-sections-zlib-header.test (47 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/copy-osabi.test (48 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/compress-debug-sections-zlib.test (49 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/copy-after-strip-sections.test (50 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/compress-debug-sections.test (51 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/compress-debug-sections-invalid-format.test (52 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/cross-arch-sections-symbols.test (53 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/compress-and-decompress-debug-sections-error.test (54 of 210)
PASS: LLVM :: tools/llvm-objcopy/ELF/discard-all-debug.test (55 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/deterministic-archive.test (56 of 210)
